Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau global,Type d'environnement,Laboratoire
108132,3.84740,43.68687,"03° 50' 50.65'' Est, 43° 41' 12.74'' Nord",34247,80 Allée des Mejanelles,,34980,SAINT-CLEMENT-DE-RIVIERE,12/2/2014,En intérieur,R_SO008_1_1PUB.pdf,Oui,0.19,Lieu d'habitation,EXEM
109361,3.83603,43.63950,"03° 50' 09.70'' Est, 43° 38' 22.20'' Nord",34172,245 Rue de la Galéra,,34000,MONTPELLIER,6/2/2014,En intérieur,Rapport public OS011402-R.pdf,Oui,1.16,Locaux professionnels non accessibles au public,AEXPERTISE
113383,3.74661,43.44271,"03° 44' 47.79'' Est, 43° 26' 33.77'' Nord",34108,19 Rue du Grenache,,34110,FRONTIGNAN,12/2/2014,En intérieur,R_SO073_1_1PUB.pdf,Oui,0.86,Lieu d'habitation,EXEM
113851,3.23246,43.34387,"03° 13' 56.84'' Est, 43° 20' 37.94'' Nord",34032,18 Rue Dupuytren,,34500,BEZIERS,25/2/2014,En intérieur,R_SO122_1_1PUB.pdf,Oui,0.30,Lieu d'habitation,EXEM
113852,3.20817,43.35018,"03° 12' 29.42'' Est, 43° 21' 00.66'' Nord",34032,11 Impasse André Dauchez,,34500,BEZIERS,25/2/2014,En intérieur,R_SO122_1_2PUB.pdf,Oui,2.13,Lieu d'habitation,EXEM
114027,3.48530,43.48087,"03° 29' 07.08'' Est, 43° 28' 51.13'' Nord",34162,7 Rue de la boucherie,,34530,MONTAGNAC,19/3/2014,En intérieur,R_SO185_1_1PUB.pdf,Oui,0.21,Lieu d'habitation,EXEM
114230,3.82106,43.57779,"03° 49' 15.80'' Est, 43° 34' 40.06'' Nord",34270,1 Rue Frédérico Garcia Lorca,,34430,SAINT-JEAN-DE-VEDAS,1/4/2014,En intérieur,R_SO248_1_1PUB.pdf,Oui,0.55,"Etablissement ouvert au public (Ecole, Et Soins, Gare?)",EXEM
114501,3.87082,43.60630,"03° 52' 14.95'' Est, 43° 36' 22.68'' Nord",34172,88 Rue de la 32ème,,34264,MONTPELLIER,5/5/2014,En intérieur,R_SO344_1_1PUB.pdf,Oui,3.89,Locaux professionnels non accessibles au public,EXEM
114503,3.23444,43.22041,"03° 14' 03.97'' Est, 43° 13' 13.46'' Nord",34329,Avenue du Port - Capitainerie,,34350,VENDRES,5/5/2014,En intérieur,R_SO345_1_1PUB.pdf,Oui,0.15,Locaux professionnels non accessibles au public,EXEM
114611,3.70006,43.51167,"03° 42' 00.21'' Est, 43° 30' 42.00'' Nord",34165,8 Rue des Peupliers,,34560,MONTBAZIN,19/5/2014,En intérieur,R_SO376_1_1PUB.pdf,Oui,0.12,Lieu d'habitation,EXEM
114624,3.96216,43.58957,"03° 57' 43.78'' Est, 43° 35' 22.43'' Nord",34154,Aéropole logistique et FRET,,34130,MAUGUIO,20/5/2014,En intérieur,R_SO404_1_1PUB.pdf,Oui,0.73,Locaux professionnels non accessibles au public,EXEM
114903,3.87815,43.75878,"03° 52' 41.33'' Est, 43° 45' 31.61'' Nord",34276,23 Rue des érables,,34270,SAINT-MATHIEU-DE-TREVIERS,12/6/2014,En intérieur,R_SO529_1_1PUB.pdf,Oui,0.18,Lieu d'habitation,EXEM
114925,3.87831,43.75868,"03° 52' 41.91'' Est, 43° 45' 31.25'' Nord",34276,21 Rue des Erables,,34270,SAINT-MATHIEU-DE-TREVIERS,12/6/2014,En intérieur,R_SO502_1_2PUB.pdf,Oui,0.24,Lieu d'habitation,EXEM
115133,3.70826,43.93656,"03° 42' 29.75'' Est, 43° 56' 11.60'' Nord",34111,30 Rue Nouzeran Chevas,,34190,GANGES,1/7/2014,En intérieur,R_SO537_1_1PUB.pdf,Oui,0.23,Lieu d'habitation,EXEM
